,c_TotalGFA_mean,distanceCenter,angleCenter,BuildingAge,NumberofFloors,NumberofBuildings_mean,ENERGYSTARScore_mean,c_PropertyType_<K-12 School>,c_PropertyType_<Retail Store>,c_PropertyType_<Small- and Mid-Sized Office>,c_PropertyType_<Entertainment/Public Assembly>,c_PropertyType_<Large Office>,c_PropertyType_<Warehouse>,c_PropertyType_<Medical Office>,c_PropertyType_<Other>,c_PropertyType_<Mixed Use Property>,c_PropertyType_<Worship Facility>,c_PropertyType_<Restaurant>,c_PropertyType_<Hospital>,c_PropertyType_<Hotel>,c_PropertyType_<University>,c_PropertyType_<Self-Storage Facility>,c_PropertyType_<Office>,c_PropertyType_<Senior Care Community>,c_PropertyType_<Distribution Center>,c_PropertyType_<Parking>,c_PropertyType_<Data Center>,c_PropertyType_<Laboratory>,c_PropertyType_<Supermarket/Grocery Store>,c_PropertyType_<Refrigerated Warehouse>,c_PropertyType_<Manufacturing/Industrial Plant>,c_MainEnergy_<NaturalGas(kBtu)>,c_MainEnergy_<Electricity(kBtu)>,c_MainEnergy_<SteamUse(kBtu)>,GHGEmissions_mean,SiteEnergyUse_comp_mean
3658,94633.5,2.711472499558016,122.3553174343625,32,6.0,1.0,95.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.061988069331056,14.935535125456585
3659,105563.0,3.0124157427703366,116.57545517799163,20,5.0,1.5,79.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.7377886588168105,15.611445796519398
3661,71751.0,10.679530908728616,88.07274202973129,42,5.0,1.0,62.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.5066078960700233,15.38030125236373
3662,85339.0,10.56158138879318,88.07535331401216,37,6.0,1.0,52.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.740760075990925,15.614502559263029
3663,127389.0,10.469830090657366,88.1619835038752,33,5.0,1.0,92.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.695979191229159,15.569735072349744
3664,53730.0,10.64103277717646,87.03501243710247,37,4.0,1.0,19.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.5090049009630335,15.382730606271947
3665,55593.0,5.691913003312312,227.86710859594035,56,3.0,1.0,56.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.509374888533225,15.24160178834302
3666,131203.0,1.978638784275436,97.81635687433327,34,4.0,1.0,54.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.4850788656428575,15.358779821323925
3667,158415.0,4.422456835983205,268.64570805079,11,1.0,1.0,24.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.141047668647471,16.945768042641546
3668,259965.0,1.726238765323162,115.52681501647308,87,8.0,1.0,37.43594789838447,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.858076001423206,17.702325995485317
3669,158738.0,0.53954249986306,67.07584662045635,41,8.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.1810747005980815,17.978223466142293
3670,86995.0,3.456156840930696,151.210203808696,31,4.0,1.0,79.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0652583362026014,14.938904560944136
3671,176755.0,7.527503630189282,124.9183152102696,17,1.0,1.0,61.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.785070560370635,16.733638847738803
3672,185845.0,2.276637256102639,112.18179944050372,7,5.0,1.0,95.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.7090496609033194,15.564054545565737
3673,55200.0,2.2160221613455016,112.44847217568615,88,3.0,1.0,20.75184627689599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5.568096381378231,16.2648145980284
3674,176171.0,2.1242583475197003,113.80231176845466,13,4.0,1.0,27.584658751108464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6.812147054766989,17.425053850575466
3676,281912.0,2.183738593115727,107.11645677304836,7,5.0,1.0,96.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.126650396974016,15.8796322857589
3677,127800.0,2.341331056052361,101.14503379206609,102,5.0,1.0,53.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.5137817424093014,14.88499454004762
3678,561636.0,2.6125224256941904,91.29258849858934,14,5.0,1.0,69.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.444878195478245,17.229869231933
3679,214770.0,2.357258491211032,93.94909123170714,15,6.0,1.0,49.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.497417923493861,16.29042419348818
3680,639930.0,2.6125224256941904,91.29258849858934,19,5.0,2.0,14.196625994222899,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.299159064732281,18.711924565837162
3681,159127.0,2.057349858750242,119.21251291409868,13,5.0,1.0,1.6205887793303475,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.471271528584275,17.191249643141614
3682,208697.0,2.001656566479834,115.0432363633849,10,4.0,1.0,96.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.830152046575941,15.782469266503279
3683,284011.0,2.029885850132063,117.11387680816806,10,6.0,1.0,95.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.2837244833835015,15.907991157938929
3684,65589.5,1.8388365938626372,115.23394807151924,62,3.0,1.0,65.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.253482783560398,14.810741851911036
3685,102685.0,2.414937041117694,119.03282360158259,53,4.0,1.0,15.355341944723406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6.396929655216146,17.028091451259375
3686,360156.5,2.414937041117694,119.03282360158259,8,5.0,1.0,30.033732737229045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6.812251580454272,17.585189936836667
3687,86148.0,3.773540888571227,151.69958727935943,42,5.0,1.0,80.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.155509949246381,15.029329380772339
3688,81815.0,3.717405288656256,149.07886178306939,44,5.0,1.0,70.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.240050060099607,15.113845456439694
3689,95032.0,3.717405288656256,149.07886178306939,46,5.0,1.0,86.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.2070056522977133,15.080787611930857
3691,196749.0,6.046894516096183,77.78066084164574,28,4.0,1.0,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.1851380922381605,16.770482241362725
3692,95995.0,6.115611024016791,77.90939022512256,22,4.0,1.0,18.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.401338945706255,15.998885729033743
3693,111445.0,9.954060377287375,134.98234950252393,70,2.0,1.5,69.9989037822066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5.047545648116353,15.521754712361599
3694,98475.0,6.115082694493837,221.181808786841,19,4.0,1.0,82.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.086943153607375,13.8984996898943
3695,215602.0,2.4028855250765204,89.54925810640096,16,7.0,1.0,20.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.011114793972796,17.613567279662735
3696,124269.0,13.835375885262843,72.45903960612542,21,2.0,1.0,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5.651190091203695,16.492977145218195
3697,63225.0,4.111039333735068,257.61440664775154,8,1.0,1.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3.8245024078986507,15.698235022766358
3698,113780.0,5.1447780856876,238.81176349657457,61,1.0,0.5,67.4122940852492,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.804594650681708,15.09013216197097
3700,280252.0,5.430022147268329,114.71826986339468,15,3.0,1.0,95.69929330496304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.414917258867856,16.288643164946926
3701,70232.0,3.6058512958009072,110.22372507036206,64,3.0,1.0,40.340417206552715,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0204288792719325,15.894125820869807
3702,107931.0,12.987355541663794,98.65187759172512,19,1.0,1.0,77.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.592540769587949,15.89714076526717
3703,67155.0,13.257729453930697,95.35631844636603,17,3.0,1.0,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.521318935819555,13.634413051714693
3704,124231.0,13.517000953793193,97.92953265032976,52,1.0,3.5,56.32978509751016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.408986267763334,16.18481745886486
3705,144776.0,13.741982332619166,95.72124951298494,32,1.0,0.5,56.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5.454979176561413,16.40218922996226
3707,50065.0,13.271688308537314,97.10364070470442,19,1.0,1.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5.05471597333143,15.97162473113862
3708,96504.0,5.765045072019523,117.94949477200197,28,3.0,1.0,75.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.5251833614431467,15.397185316015813
3709,90000.0,5.514969473390502,116.02309838967112,16,4.0,1.0,83.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.3210713371828704,15.194765827708077
3710,95941.0,5.344331882379158,115.36596515325883,15,3.0,1.0,69.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.636137742855876,15.509783981908678
3711,210050.0,5.228402573446366,113.3814727637233,17,3.0,1.0,95.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.58205507848204,16.281606940404046
3712,163544.0,5.31488833058175,113.72320568546255,17,4.0,1.0,82.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.516229676691444,16.065798800545252
3713,209296.0,0.9214659969526007,163.60538734393435,25,6.0,1.0,37.06193705844122,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.465228773845526,17.812885919133684
3714,351426.0,5.962492611531676,-88.3970216108863,34,5.0,1.0,95.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.991019011654644,15.864673868050318
3715,90000.0,6.142954600643412,-88.7138593714451,49,2.0,1.0,88.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.785628335747585,14.116358207612555
3716,50200.0,6.100660255407527,-86.15403995776822,50,1.0,1.0,79.34561589008118,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.4015306594522756,13.834066820635359
3717,83237.0,9.40403204271308,130.9779687562301,91,6.0,1.0,70.13078171198363,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.783734693904334,15.376340619608849
3719,313198.0,8.097356842077062,128.14666491724628,8,5.0,1.0,93.61398080934603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6.015608228575424,16.64883421946471
3720,139093.0,6.902945492464089,137.80149427793845,28,4.0,1.0,82.09293241932555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.2193539063642382,13.093050934813753
3721,106041.0,7.527389389871573,131.61723259411423,19,4.0,1.0,93.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.2072080200005186,13.929895381789171
3723,179940.5,0.6383340473204822,-71.09477742421123,14,10.0,1.0,87.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.002868688727722,15.876580686422281
3724,69800.0,6.439650403388906,78.34450615167893,29,2.0,1.0,100.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9301936370431465,12.80421247542842
3725,22780.0,6.400917423964171,-85.29678082966278,50,1.0,1.0,31.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0612565021243408,12.935751831752905
3727,266499.89844,0.2901591289303205,201.3732892981127,46,22.0,1.0,84.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0637994403939395,15.937516555197021
3728,49918.0,7.032835075802207,-87.57147816670111,49,1.0,1.0,71.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3.713572066704308,14.219334319800312
3730,85400.0,6.288735577236712,-88.29777312525046,50,1.0,1.0,48.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.3901379900019073,14.263476570434499
3731,55700.0,6.222995415022445,-88.33099687775854,50,1.0,1.0,62.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.3001916620664788,13.173917337815539
3732,52759.0,6.1655148519110305,-87.91221516600709,52,1.0,1.0,94.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.022490458454117,14.5063929257709
3733,64458.5,3.0133265058218135,133.37170624923948,29,6.0,1.0,96.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.576410399218815,14.710277710553495
3734,64660.0,12.09317518489641,97.60863845477462,30,3.0,1.0,88.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.864080130807681,12.71558841180728
3735,75844.0,1.8020958060235195,40.192139160644864,89,2.0,1.0,51.71507194026778,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.6136169696133895,15.112964005876957
3736,168326.0,3.908041397107157,264.1208664949753,48,1.0,1.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5.296089887557685,16.045664518276986
3737,101101.0,4.054452994636308,264.94940028128605,67,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5.072545363880135,16.938087574495967
3739,56860.0,4.159080640894917,264.1843875811158,76,1.0,1.0,45.49770143634486,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.3054830064088785,15.45730268222764
3740,104099.0,4.314394077637643,265.6988085827926,63,1.0,1.0,22.39104785729181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4.969466017058185,16.689370718845087
3741,51722.0,10.13790098747971,106.07159880502422,13,1.0,1.0,44.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5.981149024580451,16.477187097800634
3742,44431.0,14.403951616156037,81.4225840084539,36,1.0,1.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5.7049651084024875,16.244471220390917
3743,273383.0,1.6967487448311407,93.60701716329532,11,6.0,1.0,94.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.11520871740141,15.988878481532494
3744,98863.0,1.661894468784879,91.72537029231121,20,4.0,1.0,41.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.233805511721583,16.11599995652396
3745,75780.0,2.5834996353714836,-29.35855954362899,102,2.0,1.0,32.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.6458414644223676,15.503758911450857
3746,68874.0,2.411241309172403,-31.03852380470748,46,1.0,1.0,90.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.42430756443038,14.920213759305025
3747,102290.0,7.371522119983569,65.05427228623685,10,3.0,1.0,27.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.8810482011287157,15.605602804815824
3748,74864.0,2.454404588154695,25.03022270925822,90,3.0,1.0,16.907434933062333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.525748119010601,16.399437768299915
3750,459456.94922,2.055154861465937,-41.55862375350877,84,14.0,1.0,76.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5.375694987569381,16.729808537287138
3751,78635.0,3.946087024717551,84.2426577579594,38,4.0,1.0,77.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.5269485869677157,15.400659978640178
3753,45000.0,2.1145244315299947,93.07470558037603,88,1.0,1.0,55.556064222558156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4.0297171482447895,14.724794398812875
3754,145171.0,2.203947572992943,90.72269969340672,26,5.0,1.0,59.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.60576954739093,15.479435045832664
3755,302812.0,11.410820035441546,87.58730261895683,66,2.0,1.0,97.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.808315090795611,15.791314196658984
3756,78200.0,11.38596507769877,91.05760677578225,42,5.0,1.0,55.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.621993799223193,15.983681468789744
3757,98539.0,11.670891005459744,83.77006638834204,47,2.0,0.5,67.197036923372,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.8522730010223722,15.53489850806948
3758,86483.0,11.375476850993854,91.66362511791097,35,6.0,1.0,53.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.8257022989616187,15.699382220095343
3759,51600.0,7.429754858335778,259.9936594249115,40,1.0,1.0,78.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3.083514186937524,13.881725173670242
3762,161789.0,11.557065378856787,92.8236170932164,11,3.0,1.0,92.94332227019365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3.894062680051153,15.760307587732115
3763,63909.0,11.990833445814056,94.25448890694034,11,3.0,1.0,47.327479436487934,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.463859142786866,15.337592561337113
3764,56879.0,10.452380559677646,98.02933447354032,68,2.0,1.0,57.94406386336679,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.5533460588187404,13.827003263102894
3766,43728.0,1.2654337386354777,174.61002622733395,116,1.0,1.0,95.47278071992437,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.363829506469269,16.22378905620226
3767,133298.0,11.060701960159927,91.67064607441836,55,3.0,1.0,27.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.6842598081673374,16.54099581463344
3768,173106.0,11.410820035441546,87.58730261895683,51,2.0,1.0,77.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.498475447317128,15.689819206424556
3769,281318.0,3.3172570235809746,80.79942596675971,14,5.0,0.5,56.694359034988615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7.001445966297956,17.6238613550747
3770,175360.0,2.1591850812282396,95.17065350742374,16,4.0,1.0,89.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.849721979230767,15.723432639560642
3771,104786.0,4.941965464865861,263.6442905496444,47,2.0,1.0,92.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.039749158970765,13.810075816474228
3772,51427.0,5.278917374156072,263.7359095496626,16,1.0,1.0,64.71380766521044,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.9276010353914645,14.402022800023357
3774,53620.0,5.4267188145181295,267.6043299428939,68,1.0,1.0,87.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0846584827483925,14.523003839353105
3775,50008.0,5.4424460623468685,266.0871105720035,78,1.0,1.0,59.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.186771802468027,15.00577421994799
3776,305872.0,4.7379763161663115,151.79423272317695,7,4.0,1.0,98.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.830270503555887,15.667181061132151
3777,50832.0,4.408112667079323,266.5436616141972,59,1.0,1.0,57.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.665700685728123,14.774417960962793
3778,69821.5,4.841509034415089,-86.99834770684707,45,1.0,1.0,66.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.049509979234462,14.891439684576616
3779,98480.0,4.3913046891202185,-88.65061110827938,60,1.0,1.0,66.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.6969716240112724,14.849388395190614
3780,77159.0,6.269010566692396,96.0069845877155,112,2.0,1.0,78.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0402403032289,15.005114320296327
3781,155185.0,3.3186030775864346,82.4913696935643,8,3.0,1.0,23.754451494038108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6.4023317045051416,16.87408471104811
3782,169785.0,2.9050575538120924,84.8172856248263,96,3.0,1.0,23.410957787063822,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.100072284828913,16.819794337937903
3783,135194.0,2.9787004395999808,111.41296947488175,45,11.0,1.0,57.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.8941686470655545,16.449199754902864
3784,125253.0,3.374270832843382,108.96097780984394,46,7.0,1.0,66.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.7740245072708554,15.647732597127305
3785,93020.0,5.55584237659426,-87.33865085977635,42,1.0,1.0,60.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.1564025828159643,14.030141983712108
3786,22999.800048999998,2.5301171559830165,153.2570226831982,70,1.0,1.0,66.11257836245467,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.1540172525197043,13.415905744735467
3787,54434.0,11.5907178699808,-53.795540516009076,14,1.0,1.0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5.749727324915197,16.402315524409953
3789,72082.0,0.8103144488102174,236.9903055930957,112,5.0,1.0,91.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.819293379918192,14.695834987341431
3790,88945.0,0.8193460701146436,242.08211272465707,110,7.0,1.0,61.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.887751773050914,15.72287305873589
3791,63871.0,0.8470097984557947,238.58861921951055,109,6.0,1.0,83.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.97067084295862,14.844310711068818
3792,60686.0,0.7344241064782273,232.94446079182686,116,4.0,1.0,87.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.2589404999108975,14.55312528493788
3793,70343.0,0.6850403579882449,229.87887424704317,116,4.0,1.0,95.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.3660882045485874,14.623609436390645
3794,60227.0,0.4978106458638535,233.54732210871433,116,6.0,1.0,63.44049799361336,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.1828340535209354,15.056471007078118
3795,144402.0,0.6729542407434775,244.0319346756151,116,4.0,1.0,79.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.826351813988761,15.828782069151988
3796,160580.0,0.7596246316804348,251.5677033910724,109,7.0,1.0,98.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.71961432037896,15.330150629019302
